2025-08-21 12:10:01.284 [main] INFO  c.r.customer.CustomerApplication - Started CustomerApplication in 4.107 seconds (JVM running for 5.278)
2025-08-21 12:10:12.875 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-21 12:10:12.971 [http-nio-8080-exec-1] INFO  c.r.c.serviceImpl.RewardServiceImpl - testeds log
2025-08-21 12:23:23.252 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m54s41ms939µs400ns).
2025-08-21 12:23:42.905 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:23:42.908 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-21 12:23:42.910 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-21 12:24:15.943 [main] INFO  c.r.customer.CustomerApplication - Starting CustomerApplication using Java 1.8.0_451 on DESKTOP-AEIB7Q0 with PID 7300 (C:\Users\Lenovo\workspace\infosys_code_assignment\customer\target\classes started by Lenovo in C:\Users\Lenovo\workspace\infosys_code_assignment\customer)
2025-08-21 12:24:15.945 [main] INFO  c.r.customer.CustomerApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-21 12:24:16.458 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-21 12:24:16.552 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 80 ms. Found 1 JPA repository interfaces.
2025-08-21 12:24:17.315 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-21 12:24:17.328 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-21 12:24:17.329 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-08-21 12:24:17.663 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-21 12:24:17.664 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1685 ms
2025-08-21 12:24:17.710 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-21 12:24:17.887 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-21 12:24:17.907 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:rewards'
2025-08-21 12:24:18.147 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-21 12:24:18.327 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-08-21 12:24:18.570 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-08-21 12:24:18.749 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2025-08-21 12:24:19.691 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-08-21 12:24:19.701 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:24:19.982 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-21 12:24:20.259 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-21 12:24:20.268 [main] INFO  c.r.customer.CustomerApplication - Started CustomerApplication in 4.744 seconds (JVM running for 5.696)
2025-08-21 12:24:29.076 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-21 12:24:29.179 [http-nio-8080-exec-1] INFO  c.r.c.serviceImpl.RewardServiceImpl - testeds log
2025-08-21 12:29:15.680 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:29:15.683 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-21 12:29:15.684 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-21 12:29:29.687 [main] INFO  c.r.customer.CustomerApplication - Starting CustomerApplication using Java 1.8.0_451 on DESKTOP-AEIB7Q0 with PID 20544 (C:\Users\Lenovo\workspace\infosys_code_assignment\customer\target\classes started by Lenovo in C:\Users\Lenovo\workspace\infosys_code_assignment\customer)
2025-08-21 12:29:29.695 [main] INFO  c.r.customer.CustomerApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-21 12:29:30.879 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-21 12:29:30.996 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 91 ms. Found 1 JPA repository interfaces.
2025-08-21 12:29:32.513 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-21 12:29:32.529 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
